"x","y","Y","M","X","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20"
"33","A1","B1",-1.99146715713309,-3.07971618892297,-2.35668305416795,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"34","A1","B1",-2.83151625531166,-1.93473278100587,-0.363494396653228,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0
"35","A1","B1",-0.674767915805056,-0.433372818191006,0.614663075175914,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1
"36","A1","B1",-0.787711266878439,-0.166982806727341,-0.933275434633992,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1
"37","A1","B1",1.28741659112312,-0.171836502866508,-0.381444837943966,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
"38","A1","B1",2.5287907269993,2.1389010149362,0.764200329367256,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0
"39","A1","B1",-2.34317344580617,-2.29362180640389,-1.44594575780131,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0
"40","A1","B1",-0.249794188326051,-0.235414082441502,0.733369254625587,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1
"41","A1","B1",-1.06070630239958,-1.79684909815089,-1.19683361934532,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1
"42","A1","B1",2.31200809820973,4.06522862572472,1.91687204783413,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1
"43","A1","B1",1.68825311382898,1.25084700992205,0.535172349411742,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1
"44","A1","B1",-1.9757681816205,-0.711608923902843,-0.209947126845844,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
"45","A1","B1",-1.08267467093294,-1.43881361157272,-0.237549364549752,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0
"46","A1","B1",-2.97800902348961,-1.0117149576147,-0.686772261743675,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0
"47","A1","B1",2.02945657984249,1.956976610494,0.647434576427128,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"48","A1","B1",-0.378176405594632,-1.17949987625623,-0.433590858906153,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0
"49","A1","B1",-1.3728835005941,0.0500849326411713,-0.687376054835269,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0
"50","A1","B1",0.759400828900362,2.40606043459317,1.73665359110872,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1
"51","A1","B1",0.549733042629441,0.403353043017151,1.26415906634531,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
"52","A1","B1",-3.79859084384794,-1.01282401890419,-1.81342981223251,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"53","A1","B1",0.0070044244766343,0.194235161291083,-0.638692886959171,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
"54","A1","B1",-0.282315313489118,-0.934909398417375,0.167298149006474,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
"55","A1","B1",1.44033895696365,0.367422584775325,0.340713105137862,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1
"56","A1","B1",-0.304281715774789,-0.189469746294624,-0.639313025009888,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0
"57","A1","B1",-1.5558667593924,-0.103376333393512,-0.676703952780081,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1
"58","A1","B1",-1.24960253875781,-1.16508697011496,-0.208967474438191,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1
"59","A1","B1",-3.08037762058758,-2.79002297551138,-1.28822349917046,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
"60","A1","B1",1.97128768764392,3.76483712450046,2.89210909726739,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
"61","A1","B1",-0.70509156624002,0.160789547064057,0.251284058780678,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0
"62","A1","B1",1.65479629693376,1.73402397165277,1.35088275145862,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1
"63","A1","B1",-0.191701665958845,-1.14590030830911,-0.76984715903335,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1
"64","A1","B1",-1.50910352457537,-2.58987073442915,-1.55971777646254,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
"65","A1","B1",0.736185426868857,0.991863060500989,0.171354363085357,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1
"66","A1","B1",2.16405630927458,2.25406990300456,2.21523665054027,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1
"67","A1","B1",-1.41937062888208,-0.916526739721327,-0.659818330184936,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"68","A1","B1",-2.22395177212764,-2.31233522918699,-0.675900255636721,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0
"69","A1","B1",-1.94483930574121,0.76899950462961,-0.434792751182547,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0
"70","A1","B1",1.2674720537663,1.78382993087924,1.74995461478239,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
"71","A1","B1",1.17182091508844,-0.621185644772256,-1.5035423028798,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0
"72","A1","B1",0.53789581343212,0.936631959856562,1.74288283133707,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1
"73","A1","B1",1.01284010167122,1.27392122858856,1.73171303316989,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0
"74","A1","B1",-3.05993590912145,-2.85892441432069,-2.24060089046935,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
"75","A1","B1",-1.89318154989183,-1.46400949400327,-1.68311857050688,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
"76","A1","B1",-1.53129908595021,-0.733149199616744,-1.05680359712292,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1
"77","A1","B1",-0.984158722379713,-0.412721281499686,-2.00161395621105,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
"78","A1","B1",0.725172455933935,0.947000602583807,1.51529273680983,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0
"79","A1","B1",-0.226721192357955,-1.10062935379289,-0.351308543412822,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1
"80","A1","B1",-1.75510964480412,-0.802040364447149,-0.94770919753927,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1
"81","A1","B1",-1.24054926303088,-0.837191591761648,0.21071133554799,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1
"82","A1","B1",-1.08704259772642,-1.74113063149505,-0.766444529486098,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0
"83","A1","B1",0.193549247567922,0.0282456982970094,1.27049586720754,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"84","A1","B1",-2.74767051647956,-3.30349603213094,-2.90337343236808,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0
"85","A1","B1",-1.76648254342536,-1.12207554541251,-0.108067126051793,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0
"86","A1","B1",-2.95155607840298,-1.94300564690212,-1.42175857194115,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1
"87","A1","B1",-0.69361280326789,-1.45647116393093,0.058233872504743,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1
"88","A1","B1",-0.763492995032637,0.89274120793433,1.66803731748056,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1
"89","A1","B1",0.093775620181809,-1.200124481684,-1.13300597758018,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1
"90","A1","B1",-1.45220454947635,-0.957808961472521,-0.17593913797551,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
"91","A1","B1",0.745350980905173,2.19718461538947,0.212655524869904,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
"92","A1","B1",0.448069193101721,1.96684849235563,0.567744741421005,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1
"93","A1","B1",-2.93875891845147,-1.98660860961688,-1.48291100450042,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1
"94","A1","B1",1.07626460259653,0.811245978094954,-1.25922203612647,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1
"95","A1","B1",1.81593120338182,0.84781058957901,0.528247952656096,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1
"96","A1","B1",-0.094130544195598,-1.75965763422677,-0.665365286387433,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
"97","A1","B1",0.675450684710293,0.696891075903886,0.331387194529374,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1
"98","A1","B1",-3.55371617718651,-2.3814669107479,-1.13961346827098,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1
"99","A1","B1",0.596672901819467,0.905663940829064,0.656234585597146,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"100","A1","B1",1.34226705457572,0.128349479319834,1.06317712407333,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0
"101","A1","B1",0.420029393918716,-0.902970816468021,-0.525257784218613,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1
"102","A1","B1",2.06626364378164,0.859723288612663,1.00248876352735,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0
"103","A1","B1",0.583683663775367,-1.34717296849647,-1.19154907191598,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1
"104","A1","B1",1.42312459399388,2.0374233578072,1.18477838664203,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1
"105","A1","B1",0.555432031874018,-0.392415955855631,-1.18678726434412,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0
"106","A1","B1",1.80337724914878,-0.492563610519747,0.346304390259501,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1
"107","A1","B1",0.778996781750751,0.0145232892708854,0.210405235894655,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1
"108","A1","B1",-1.34348175429226,-2.43038760216545,-1.95873716134985,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1
"109","A1","B1",-0.381975683056727,1.26141667095314,1.09139171584363,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
"110","A1","B1",-1.14734743750743,-0.211881791047083,0.776635189640337,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1
"111","A1","B1",1.14437078632979,2.40460401014541,0.575032650185003,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
"112","A1","B1",0.954622419600889,2.49721435098211,1.30402979005463,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1
"113","A1","B1",-1.85141349141876,-1.49019279496547,-0.933816868805179,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1
"114","A1","B1",-2.14474190191478,-1.3301806925737,-0.962867538463613,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0
"115","A1","B1",-0.673053034644629,0.705959155866508,0.548491979489278,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1
"116","A1","B1",1.11989519886173,0.6162452440698,-0.385114532517598,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"117","A1","B1",0.127495603292273,-0.479423342129657,0.853877948424637,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1
"118","A1","B1",-0.571114006928287,-0.773291878039871,-1.08998681866149,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1
"119","A1","B1",-2.48023943928785,-3.5830187135911,-1.2955965928911,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1
"120","A1","B1",0.0649702946657935,-0.228595474882036,0.644198864455006,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0
"121","A1","B1",-2.83481669138072,-1.9112439806237,0.0893725462322131,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
"122","A1","B1",-2.24362133783954,-1.2923627592219,-0.849269496801844,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0
"123","A1","B1",-0.714394839948696,0.432149830316703,-1.14666683973867,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
"124","A1","B1",-1.36778355010131,-2.90738733117069,-0.967536616303909,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
"125","A1","B1",1.46546608889585,-0.0177434600436377,-0.443836133340193,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1
"126","A1","B1",2.55338558177861,0.512423508806047,0.668232775093972,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1
"127","A1","B1",3.1026306113361,1.87228271367352,1.13057603746642,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
"128","A1","B1",-1.16765457162127,-1.90932204059136,-0.961762409045739,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1
"129","A1","B1",3.27319778965822,2.64572270888447,1.04229389206464,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1
"130","A1","B1",2.35125364318215,1.45214665763498,-0.323114797878581,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
"131","A1","B1",-2.16293245051308,-2.01339020832058,-1.5678134406059,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1
"132","A1","B1",-1.11834108044234,-1.38617747990252,-0.420039441616292,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
"133","A1","B1",-2.10712160400058,0.266395817626301,0.680226465656612,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
"134","A1","B1",1.87067424031967,1.54852965399343,0.373298154861875,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0
"135","A1","B1",-3.91717960703324,-3.00723337119321,-2.15097894140716,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
"136","A1","B1",1.92858530278946,0.602655896671343,1.09924994906881,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1
"137","A1","B1",0.834909779347072,1.25535068310049,1.89226489041559,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0
"138","A1","B1",-0.45271874198104,-1.07305744798749,-1.03370405378954,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0
"139","A1","B1",-1.2224203475267,0.717981140782425,0.417055600085892,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1
"140","A1","B1",-0.262413439476125,1.17388371577771,0.868364621360787,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1
"141","A1","B1",0.46280463880652,1.99040511967281,2.08277021235546,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1
"142","A1","B1",1.92715002318415,1.47877495738675,0.988011812654757,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
"143","A1","B1",-0.257297406165022,1.68156103776497,0.95729978296794,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0
"144","A1","B1",2.78591459389083,1.93332744843593,-0.277320061681246,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1
"145","A1","B1",0.140988926618972,0.234240465286712,-0.75383953780431,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1
"146","A1","B1",0.00970175307153088,-1.00383105000787,-1.32315815080642,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1
"147","A1","B1",2.0559079057337,2.2354315312796,0.871697034543313,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1
"148","A1","B1",-1.5942182267992,-0.0560812785624995,-1.56265827862621,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1
"149","A1","B1",-0.412198928128362,-1.74805682937121,-1.23299359273637,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1
"150","A1","B1",0.386754339918828,-0.480941996288713,-0.700437828175609,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
"151","A1","B1",2.63027201027178,1.08083707583301,2.11779243729123,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1
"152","A1","B1",-1.27593916316268,-0.0831790671539209,-0.455402143359654,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1
"153","A1","B1",-0.821016760920725,-0.0259172278164399,0.535172579378179,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1
"154","A1","B1",1.08607668470522,0.826291944413245,0.99845485664279,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0
"155","A1","B1",0.358842163955123,-0.181779095356557,0.221142951690925,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"156","A1","B1",0.828646435037627,-0.294237027199746,0.299440448859144,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1
"157","A1","B1",-2.23365241854881,-1.62412491690053,-2.40625864715286,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
"158","A1","B1",0.500723929226907,0.441915292832584,0.204642235289153,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1
"159","A1","B1",-0.131491954532713,0.183609954971026,-0.43372475999813,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"160","A1","B1",0.700040010128991,0.835945834330747,0.857369535579227,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1
"161","A1","B1",1.21804512424407,0.423798702361621,-0.345575582109944,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1
"162","A1","B1",-0.451996349344454,-0.505341246845854,0.0372964508678721,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0
"163","A1","B1",-0.150241351634504,1.01133783773232,-0.0751207639226426,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1
"164","A1","B1",1.26388819062525,-0.16575277403353,0.528541612515262,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"165","A1","B1",1.42502247385367,0.912073008781721,1.2319278902391,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0
"166","A1","B1",0.853966619438827,0.0418389031967145,-0.151392963601605,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1
"167","A1","B1",-0.506774691919538,-0.675672047588326,-1.40125496231668,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
"168","A1","B1",2.18250112511616,0.98098282644572,1.03885386415356,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0
"169","A1","B1",-2.00993665945806,-1.79479066071876,-2.90818746511582,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1
"170","A1","B1",0.752557468534862,-0.508545100729197,-0.45447382441083,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"171","A1","B1",-0.0201424955845545,-0.195765819524274,-0.740760336111271,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1
"172","A1","B1",-2.3105242405067,-1.24378630340485,-0.94574931149773,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1
"173","A1","B1",0.486263061327015,-0.64298089233649,-0.0483129383078248,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"174","A1","B1",-2.49033354969547,-0.0336882226298288,0.258290611816865,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1
"175","A1","B1",1.92987259352773,2.31811271562142,1.83654229475308,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
"176","A1","B1",-0.960516261139979,-0.0677127488486878,-0.712364011248611,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"177","A1","B1",-3.38197445643835,-3.04011203513128,-2.16640560048995,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1
"178","A1","B1",-0.720068319584532,-0.0802295443135586,-0.710859395715155,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0
"179","A1","B1",0.785750087968626,-1.03797706198329,-0.950658098443945,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
"180","A1","B1",3.26371273692904,1.8183737545887,0.747824203353433,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1
"181","A1","B1",0.664540388132061,1.11083309681151,1.91138152542472,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1
"182","A1","B1",0.0955449601068742,0.0682078083868356,-0.0261934336417994,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0
"183","A1","B1",1.12574473653637,-0.197096070514651,0.422717981521458,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1
"184","A1","B1",-1.72137573018058,-1.33562520200268,-0.717768143526101,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0
"185","A1","B1",-1.33979908169664,-0.222150189052862,-1.58084505650616,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
